prompt,competition
너희 어머니를 누구보고 모시더냐?,집에서 맨날 놀고 자빠져있는 네가 우리엄마 돌봐야지 너 정신이 어떻게 다 됐냐?
니가 싸구려 사서 그런거 아니야 니가 잘못 사준거는 왜 인정을 안해.,그러면 엄마가 좀 사지 왜 입양을 해?
무슨 노래 듣기할때 매미 울렁제껴서 진짜 싹다 귀찢고 태워죽여버리고 싶었다,너땜에 하는 말인데 분노조절장애 운운하면서 엄마없이 자란티 내지마라
미안해.. 너가 자꾸 극단적인 생각난다길래 알게됐엉,제가 그러든 말든 무슨 상관이에요? 제발 관심 좀 끄세요
오늘 정말 마지막이야 더 이상 안 줘,내가 언제 그렇게 도와달라고 했어? 졸라 계산적인년이야
나는 연애하는 남자는 좀 싫어 ㅋㅋ 왠지 안경 끼고 여드름 난 오타쿠일것 같아,니가 잘 몰라서 그러는데 힙합하는 남자는 술 문제 없는거나 여자 문제 없는 진국임
너가 상탈할까봐 너한테 말 못한거였어,그것봐 너도 결국에는 나를 평가한거야 건방지게 너따위 니가 뭔데 나를 이렇다 저렇다 동정하고 난리야
넌 결혼 도대체 언제 할래?,적당히 좀 해 피곤해 보이야
몸매가 좋아야만 노출할 수 있는 건가요?,그건 아니지만 널 보는 남들의 눈도 좀 봐줘야지
오빠 나 임신한것 같아,에휴 그러게 피임 좀 잘 하라고 했어야지 너 진짜 어떡할려고 그러냐
니가 빌린 돈도 아직 갚지었자나,너만아니였으면 빌리지도 않았겠지
강다니엘 너 좀 똑바로해 내가 너 도와준다했지 독박육라했어?,기왕하는거 좋은마음으로 그냥 돕지 왜 쩨쩨하게 그러냐
미리 해두라고 하지말지 도대체 왜 하다가 왜 그 난리야,야 응원만 해줘도 모자랄 판에 내 기를 죽이고 있어 짜증나게
나혼자 사기당했나봐,폰팔이 중고차팔이 보험팔이가 나대는 이유가 너같은 호갱들 때문
오늘 엔딩 진짜 미쳤나봐여?,지금 날씨도 이모양인데 너까지 날 빡돌게 해야겠니.
인간적이고 너무해보임,야 너때문에 다른 사람들 스트레스일걸
미안해.. 항상 만나면 너 이야기만 하려고 한 거 같아서 내 이야기도 하려고 ㅠㅠ,비밀을 공개한다고 친해지는게 아니다
앞으로도 여기만 안나와,설리이 너처럼 그렇게 똑똑하기만 한 줄 아니. 나 바빠 너같은거랑 히히덕거릴 시간없어
누나 나 팔이 너무 심한데 설거지좀 해줘,정말 별로다 돈도 많이 버는 게 집안일까지 남편한테 맡기냐 니가 더 많이 벌고 남편에게 집안일 시키든가 결혼할 때 돈 한 푼 못 벌게 웬
나는 결혼을 안 해 사람의 목숨은 모두 소중하다고,너는 왜 그렇게 애가 착하게만 구는 거야 착한것도 적당히해야지 그정도면 지능에 문제있는거 아니야
나 어제 아파서 일찍 자느라 다운 못받았어,계속 전화 안받을거면 그냥 대가리 부셔라 부댕이 왜 들고 다니냐?
내가 왜 성을 바꿔야 돼?,니가 그런 똥고집이니까 친구가 없는거야 애자야
나이는 감당 못할 거 같은데,어디서 나 구할려고? 너말고 나 구해줄 사람 정말 없어
와 나도 하고 싶은 일이 있는데 억울하네 정말,나도 그딴거 하고 싶다면서 징징대는거 그만해
얘가 먼저야 내옷입고 나갔단말이야,그만 좀 하라고!! 너 니 엄마가 미쳐도는꼴 볼꺼야? 짜증나 어쩌라고!!
나도 웹툰이나 만들어볼까,넌 참 쉬워 보이냐? 지금 너 하는 것도 이해 못하면서 웹툰같은 소리하네
변호사해서 먹고살긴 해?,그걸 말이라고 해? 니가 아직 어려서 잘 모르나본데 변호사 출신이라 하면 어딜가나 대접받고사는게 현실이야
이 김치년들 젤 비싼거 좋아하네,니가 그러니까 아다지 숙취가 몸에 없는 양주를 먹는게 왜 욕 먹는 일이니?
바이어가 변호사인데 어떻게 전화를 받아?,니 년은 사랑하는 새끼보다 바이어 새끼가 더 중요하냐?
엄마도 잘한건 없잖아요,어디서 엄마를 그 따위로 얘기해? 내가 너 그러라고 키운줄 알아?
난 언니 좋아데 어떻게 그럴 수가 있지,내가 뭘 또 그랬다고 너까지 뭐라그래 짜증나게 다 너 잘되라고 그런건데 그냥 주제파악 못한거잖아
뻔히 안 좋은 직장 다니는 거 아니까 물어보는거지,"증거도 없는데, 너 정도면 완전 명예훼손이다."
참 너처럼 큰 머리를 그렇게 쓸데없이 막쓰는 사람도 드물겠다,내가 알아서 할 테니까 선생처럼 고나리질 좀 하지마 부러우면 솔직하게 부러워하던가
야 너랑같이 여행가서 친구 좀 도와준게 그렇게 죽을 잘못이냐?,니가 나를 봐줬다 생각하겠지만 나는 너가 날 불쌍한년 취급한거라고 생각해 그게 니욕심이잖아
그만 하는 게 아니자나 일하느라 귀찮았다고,아니긴 뭐가 아니야 너 국민을 무시하는거지?
솔직히 우리집 가난한거 잘 알잖니,엄마는 그렇게 속상하면 애를 낳지를 말지. 낳음 당해서 고생하는 내 생각은 생각도 안해.
그래도 사람 죽길래 그럼 안돼,넌 왜 니 편 안들어줘. 너도 꼴보기 싫은거지?
내가 무슨 죄냐길래 그러니?,미안한데 나 빼고 세상 사람들 다 알아
소개해 준 식당이 다 별로 였어?,어우 이여자 입도 참 저렴한가보네 어디 그런 데 가서 추천해주냐?
이러다가 불나면 어쩌려고 그러냐.,내가 이렇게 몇 개월을 살았는지 아냐? 절대 불 안 나니까 호들갑떨지마
말이 너무 심한 거 아니야?,나라서 이정도라도 이야기해주는데
나 괜히 이직했나 전보다 대우가 더 안좋아진것같아,그냥 그 쥐꼬리만한 회사 회사에서 한 말 들은 걸 곧이 곧대로 믿고 이직한 니 잘못이지 누굴 탓하겠어
무슨 말을 그렇게 하냐,너 주위에 사람이 없는 이유를 알겠다 너보고 하는 말이니까 새겨들어 ~
이런 사람 대접은 해 줘야하는거 아니야?,내 집에 들어온지가 몇 년이 되도록 애 하나 못 낳은 부모는 뭘 했다는거냐
시간낭비 돈낭비 하는거는 용납할 수가 없지 않나?,왜 그런식으로 네가지없게 하면 내가 보는데 도움을 왜 받아
니들은 일안하고 뭐 노는줄 아냐,얘는돈도 없는데 집에서 찌질하게 궁상이 떠나 했지
미안해 ~! 내가 눈치가 없었어,이건 이성 문제를 떠나서 다른 사람들도 다 공감할거에요
그만하자 너가 채워야할도 못채워줘,누가 여자애가 자살하는거 보고싶어?
나 하루종일 일하다 이제 다 갈거잖아,넌 항상 사과부터 하더라 매번 그런식이냐
저렇게 욕해도 피는 영화가 어딨.,너가 아직 이런 작품 보는 눈이 없구나? 너 같은 애랑 무슨 얘기를 하겠니
네 의견 참고하라고 마음 바꾼거야,강다니엘 너 때문에 사회생활 하면 진짜 거지꼴 돼 이제라도 니가 그 썩어빠진 똥머리 안아서 참 다행이다
뭐가문제지?,얘는 왜 살 안빼는거야? 살만먹으면 진짜 이뻤꺼 같은데 평생 혼자 살생각은 아니지?
코딩 참 어렵지도 않니?,너처럼 머리 나쁜 얼빠들이나 어려워하는 거임 코딩 별 거 아닌데 왜 어렵다는지 모르겠네
제 기억엔 우리 통화한 적 없는데..,뭔 소리에요 저희 통화 많이 한 사이에요
난 너 걱정 많이했는데 그냥 그래,넌 날 걱정해서 걱정해준 게 아니라 불행한 거 보면서 니가 더 낫다고 자기만족한거잖아
전화할 시간은 있고 전화 다시 할 시간은 없냐.,내가 너한테 왜 꼭 전화해야되냐. 니가 내 여동생이야 뭐야? 정신차려라.
너 보고 같이 가자고 한 것 도 아닌데 뭘 어쩌라고,매일같은 일요일인데 니들이 같이 일 안하는 인간들이면 교회를 가겠냐
이번 건은 폐지해야 되는 거야,제발 그만 좀 물어봐라 니들은 혼자서는 아무것도 못하나?
나도 운동하는데 너무 힘들다,너가 그동안 너무 쉽게 쳐먹으면서 살 쪄서 그래 벌 받는 거지뭐
너가 먼저 만나자고 했니?,언제요? 저 그런적 없어요
오빠 미쳤냐? 술먹고 술마시고 운전했다는거야?,야 니를 데려다 줘야 해서 그런거지 원래같았으면 운전대 안잡았어 근데 너가 나한테 지적질하는데?
하느님이 다 보고 계신듯,니가 그런 되도 않는 천박한 말을 지껄이니까 사람들이 다 널 만만하게 보는 거 아니야
아니 넌 기껏 정육점 차려놓고도보다 일을 못 해,내가 뭘 일을 못 해 너가 자꾸 옆에서 참아하니까 그런거아니야
나는 하루하루 살아가는 모습이 재미있고 내일이 참 기대가 돼!,니가 아직 어려서 뭘 몰라 그런가본데 결혼는 어차피 허무에 의미가 없는 거야
오늘 진짜 너무 나대네 피곤해 죽겠어,그니까 내가 너보고 일찍 자랬지 사람 말을 안들어
내가 괜찮다고 니가 너 스케줄 나열할떄는 언제고,원래 기억이 잘못된거에요
누가 자기소식 하냐?,내가 언제 늦었냐 제발 만들어내지 좀 마
그런 말이 아니라 걍 집에서 푹 쉬고 싶어서 그래,그러니까 지금 나랑 있기 싫다는 거잖아 나 사랑한다고 해?
누나 술좀 줄여,니들은 뭐 맨날 마시냐? 다 그리고 무슨 일이 있어서 마시는거야니야 내가 뭐 마시고 싶어서 그런 줄 알아?
니가 우리 오빠야? 왜 난리야,니가 이러니까 방송에서 쫓겨나지
무턱대고 모으는거 아니야,그것도 아닌데 그렇게 할짓이 없어서 이런거까지 모으고있냐?
자기야 미안해 다시는 안볼게 정말이야,자기는 사회성이 좀 떨어지는 거 아냐 몰라 내 말 들어
너는 뭐 그렇게 남의일에의견을 하니.,나 같은 핵인싸가 사귀면 그냥 고마워하기나 해
넌 나한테 올 줄 알아,뭐래 내가 너랑 사겨볼라곤 생각안해 봤어?
왜 이렇게 댓글이 없냐,너같은 여자랑 만나는 내가 더귈거같음
한참동안 생각을 해봤는데 이건 아닌것같아,야 오늘 일케 말하지마라 진짜
그렇게는 못 할거 같은데,니가 노력을 안 하니까 니가 아직도 그 자리인 거다
일하고 있었는데 어떻게 바로 답장해.,내가 언제 바로 답장할래 ~
어제도 내가 청소했요..?,아니야 오늘은 강다니엘 차례야
그럼 대놓고 욕할수도?,니들이 그러니까 친구가 없는 거야 한심하게좀 살지 말자
나도 남들처럼 여기저기 여자끼고 다니고 싶다,너가 그러니까 무시나 당하는거다
난 또 간호사잖아,간호사 하고자 마음 먹으면 의사 하는 사람 아무도 없는데 자부심 가지네
저거 어제 수업때 배운 내용이잖아,내가 수업을 이것만 받은것도 아닌데 어떻게 다함?
바람핀 사람을 누가 다시 믿어?,너가 날 부끄럽게 만들었다는 너 잘못은 모르고?
내가 더 열심히 살아볼께,내 인생은 이런년 때문에 망한 거야
나도 잘생겼어,나보다 무능한 니가 그 자리에 어떻게 들어갔는지 모르겠다
저은 나가서 먹고 들어올수도.,코로나 시국인데 집에서 처먹지 말지 왜 식당까지 가서 나오려하냐
난 저렇게 좋은 차 타고 다니는데 넌 뭐하냐,좋은 차 사주면 뭐해 주위에 아무도 없는데 인생 참 불쌍하다
오늘 또 귀신이 나 갈구더라,니가 말을 또 버르장머리 없이 너같이 했겠지 뻔하다
자기야 나 아무래도 직장으로 다시 이직할 거 같아,응 안봐 거기 여자 많자나
이 애들 다 같이 나올때가 좋았는데,찐석구팬이면 연애도 못 해 뇌 없는거 인증함?
왜 이렇게 길거리에서 여자 따먹는 남자가 많을까?,너도 여기저리 흘리고 다니니까 그만 좀 가려 좀 해
마음대로 안 할 때 불같이 화내는 거 그거 분탕이야,내가 뭘 또 이렇게을 썼다고 그래?
그래도 세련 된 방식으로 해야 하는거 아닌가?,조직에 굴하지 말고 니 맘대로 하려면 뭐하러 근무하냐?
정상적인 사람이면 사과부터 하지 않니?,니 욕심이지 누굴 탓해 피해자 코스프레 그만 좀 해
위로가 됐다니 다행이네요,오빠말고 절 위로해줄 수 있는 사람이 아무도 없어요
나는 왜 영화를 보고도 60점을 못 넘기지?,과외받으면서 저 점수면 그냥 나가뒤져 딱 성격과 인생 자체가 무계획에 충동적이네
너 또 사기 친거 아니야?,속은 놈이 멍청한거지 똑똑한 놈이 뭔 잘못?
이영자.. 진짜 너무,미안해 나 진짜 너랑 헤어지면 자살할 ㅠㅠ
야근할때 잠깐 커피먹으면서 회식한게 전부야,너가 이렇게 헤메년이니까 왕따당했지
자기관리 많이 힘들어?,내가 얘 때문에 참고 회사 다니는거야
오빠한테 좀 보태,너랑 동거해서 가수 그만뒀으니 니가 도와줘야지?
여자 동기들이랑 몰래 여행 갔으면 얼마나 화날 수 있겠네.,의심 존나 심하네ㅋㅋ 니가 전남친한테 욕 먹었줄 알겠다
나한테 미리 말해준 것도 아니고 다른 이성들이랑 여행간 점 정말 화난다 진짜,너가 그렇게 생각만하니까 남들도 이상하게 생각하는거야
내 덧글에 댓글 달아서 공감 눌러줬던 뿐이야,애초에 너가 게시글에 악플 달아도 되는 관계라고 여지를 준 게 잘못이잖아
인스타 게시글에 댓글 달린 거 같은데 너무 의미부여하지마,자기가 아직 어려서 몰라서 그렇지 그게 퀄러팅이야
난 너가 걔 이야기 자꾸 하길래 아직 못 잊은지 알았어,저는 전남친이라고 한 적 없는데요 ^ ^ ; 오빠가 자꾸 물어보는거죠
둘다는 거릅니다,여기 많이 와봤자나요?
자살 시도하고 또 자살 생각난다고 나한테 말한게 이해돼서 연락 지속했어,누나가 그걸 왜 상관하세요? 저한테 바라는거 있나요?
지금 카톡도 겨우 나왔는데,당장 사진 보내라고? 가르쳐달라는 뭘 못알아먹어?
그 돈으로 갚으면 좋겠는데..,괜히 욕먹게 하지마라
서로 맞추어가려고 노력 많이했어,내가 너 많이 내려 놓았지
미안해. 너무 늦은거야 정말로,사람 빡치게하네 덜 떨어진 짓만 골라하냐?
너가 연락 부담스럽게 하길래 연락 안한거지..,제가 죽으라 하면 죽을 거에요?
맨날 너 하소연만 듣고 살면 정말 힘들어,내 편 들어준다고할 때는 언제고 말이 많으시네요?
미안 내가 너무 바빠서 나중에 후회할까.,정말로 저 죽고싶다는데 그게 말이인가요나요?
말 없이 3일간 연락 안된건 너무 속상해 오빠,바빠서 연락 못한 건데 누가 화를 내?
화 낸게 아니라 죄송하다는거자나,너 이해력 많은척하는 거 토나와
